mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid
73109.70269854086,279.8249,-25593.96753176183,-58.224130960446985,4071.2632870630537,52.33774996946247,5.504250171989453,13357.0,0.667811,420.9704,3000.0,88.5226,1.7712374156702757,EJU5284_1390
73048.10535149241,314.803,-18065.29093940525,135.9516449583743,4604.329684632694,52.33979688684264,5.615051392444528,15106.0,0.689176,431.5525,3000.0,88.5234,1.7558217600669321,EJU5284_1390
72987.0579737658,349.7811,-10346.78035472198,334.9201465262862,5137.396082202029,52.34178689049505,5.728656820862308,16855.0,0.711383,442.4591,3000.0,88.5244,1.7401198071914115,EJU5284_1390
72926.57033021882,384.7592,-2432.653597111008,538.7859152320293,5670.462479770969,52.34371289031811,5.845151764110825,18604.0,0.734464,453.6976,3000.0,88.5278,1.7241321324882168,EJU5284_1390
72866.65210362719,419.7373,5683.013700116563,747.3593898958335,6203.52887733939,52.34556447211698,5.964623596985644,20353.0,0.758454,465.2756,3000.0,88.5282,1.7078593076089073,EJU5284_1390
72807.31282776226,454.7154,14006.255622699902,961.2130266459686,6736.595274907096,52.34733770793592,6.0871611935177485,22102.0,0.783387,477.2,3000.0,88.5334,1.6913016248331008,EJU5284_1390
72748.54091086949,489.6935,22543.25830964341,1179.781948083558,7269.661672473811,52.34901781977288,6.2128556370312245,23851.0,0.8093,489.4772,3000.0,88.5321,1.6744591570356149,EJU5284_1390
72690.16636765932,524.6716,31300.28013107783,1404.177277031241,7802.728070039554,52.350604406085374,6.341799073860766,25600.0,0.82,492.3689,3000.0,88.532,1.6531090794186811,EJU5284_1390
72632.2656383629,559.6498,40108.75655173691,1629.9159042637932,8335.79446760437,52.35205895264253,6.4715090845117,27348.0,0.82,488.763,2914.0,88.5283,1.6155731002831026,EJU5284_1390
72575.54984169659,594.6279,48853.84983193389,1854.5876192195833,8853.55477270121,52.35336755806453,6.600293857491093,29047.0,0.82,485.235,2494.0,88.5264,1.515602512710656,EJU5284_1390
72522.1380255434,629.606,57543.84389470139,2078.1296298531456,9296.732446534888,52.35453181408736,6.728274411923392,30501.0,0.82,482.1948,2074.0,88.5208,1.410547038815574,EJU5284_1390
72472.20076439706,664.5841,66187.00824278637,2301.31413985907,9665.32748910299,52.355560279362905,6.855571749597581,31710.0,0.81777,478.3471,1655.0,88.5214,1.3006620175217727,EJU5284_1390
72426.0017862018,699.5622,74768.35659524827,2522.8173752769653,9959.339900408268,52.35644531229238,6.981964109850525,32675.0,0.81554,475.0154,1235.0,88.522,1.1860782115682227,EJU5284_1390
63741.31302227645,0.0,-75245.65138227925,69240.46429308674,30.48000030377939,52.32129686458359,4.779954840602366,100.0,0.3,198.3755,2500.0,131.1164,1.8550954625202754,EZS39RG_1538
63654.21527857552,46.8712,-71681.80326091131,66129.72132612906,625.7442072704623,52.293800712276216,4.833048538495601,2053.0,0.453058,297.5659,3000.0,131.9466,1.76787534219231,EZS39RG_1538
63571.66941693465,93.7424,-66393.42189663212,61376.961985914095,1340.0612556316091,52.251725888020545,4.911739640823952,4397.0,0.570374,371.5445,3000.0,131.9439,1.753448283668701,EZS39RG_1538
63490.18068148144,140.6136,-59778.72023259125,55432.76875528784,2054.378303993015,52.19903024453997,5.009956285143889,6740.0,0.594036,383.7299,3000.0,131.9395,1.7336408882565266,EZS39RG_1538
63409.6496606966,187.4848,-52945.732027244434,49293.3678714615,2768.6953523542834,52.14451879489777,5.111169520428971,9084.0,0.618946,396.4285,3000.0,131.9303,1.713392518748727,EZS39RG_1538
